trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,change_dummy,GDP Growth Rate,CPI,PPI_ppiip,PPI_ppi,PPI_qm,PPI_rmi,PPI_pi,PPI_cg,PPI_food,PPI_clothing,PPI_roeu,PPI_dcg,MS_m2_yoy,MS_m1_yoy,MS_m0_yoy,MS_cd,MS_qm,MS_ftd,MS_sd,MS_rests,SP_500_close_diff,SP500_Volume,US_Stock_P,US_Stock_D,US_Stock_E,US_Stock_CPI,US_Stock_Rate GS10,US_Stock_Price,US_Stock_Dividend,US_Stock_Earnings,US_Stock_CAPE,"Sentiment - (1 for pos, -1 for neg)"
1/4/13,2524.409,2551.814,2558.529,2498.892,2522.952,1.457,0.0577,97988182,95579245.01,1,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,4.74,489392896,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/7/13,2535.985,2518.047,2545.969,2511.603,2524.409,11.576,0.4586,75167993,73167512.51,1,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,-3.87,471493952,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/8/13,2525.33,2534.647,2540.513,2502.49,2535.985,-10.655,-0.4202,71837100,76498061.77,0,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,-11.1,533650944,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/9/13,2526.126,2518.104,2534.239,2504.299,2525.33,0.796,0.0315,70231170,74233596.96,1,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,0.07,489918240,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/10/13,2530.569,2525.59,2553.352,2513.729,2526.126,4.443,0.1759,71085862,71159045.5,1,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,1.37,544271616,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/11/13,2483.23,2533.495,2539.794,2473.696,2530.569,-47.339,-1.8707,74239176,72775921.99,0,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,-1.66,470772896,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/14/13,2577.725,2474.176,2583.625,2473.998,2483.23,94.495,3.8053,93554091,96853471.37,1,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,-0.29,480923744,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/15/13,2595.856,2579.132,2605.41,2576.919,2577.725,18.131,0.7034,98620805,101356961.4,1,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,-8.31,470886336,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/16/13,2577.092,2591.365,2600.093,2540.521,2595.856,-18.764,-0.7228,93536084,95564995.01,0,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,-5.04,486436576,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
1/17/13,2552.758,2570.711,2575.058,2539.674,2577.092,-24.334,-0.9442,69915239,71716118.53,0,2,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,15.9,15.3,4.4,248778.91,680900.71,202559.15,419143.32,59198.24,0,591831168,1480.4,31.54,86.91,230.28,1.91,1624.27,34.6,95.35,21.9,-1
