trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,GDP Growth Rate,CPI,PPI_ppiip,PPI_ppi,PPI_qm,PPI_rmi,PPI_pi,PPI_cg,PPI_food,PPI_clothing,PPI_roeu,PPI_dcg,RRR_before,RRR_now,RRR_changed,MS_m2,MS_m2_yoy,MS_m1,MS_m1_yoy,MS_m0,MS_m0_yoy,MS_cd,MS_qm,MS_ftd,MS_sd,MS_rests,协定存款(定期),定期存款整存整取(一年),定期存款整存整取(三个月),定期存款整存整取(三年),定期存款整存整取(二年),定期存款整存整取(半年),活期存款(不定期),通知存款(一天),通知存款(七天),零存整取、整存零取、存本取息定期存款(一年),零存整取、整存零取、存本取息定期存款(三年),个人住房公积金贷款(五年以上),个人住房公积金贷款(五年以下),个人住房商业贷款(一至三年),个人住房商业贷款(三至五年),个人住房商业贷款(五年以上),个人住房商业贷款(六个月以内),个人住房商业贷款(六个月至一年),中长期贷款(一至三年),中长期贷款(三至五年),中长期贷款(五年以上),SP500_Open,SP500_High,SP500_Low,SP500_Close,SP500_Volume,US_Stock_P,US_Stock_D,US_Stock_E,US_Stock_CPI,US_Stock_Rate GS10,US_Stock_Price,US_Stock_Dividend,US_Stock_Earnings,US_Stock_CAPE,"Sentiment - (1 for pos, -1 for neg)"
11/30/18,3172.69,3136.1962,3175.154,3132.423,3137.6542,35.0358,1.1166,70921044,77297697.6,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2633.36,2647.55,2631.09,2632.56,552735153,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/29/18,3137.6542,3198.8259,3204.8565,3137.6542,3178.9326,-41.2784,-1.2985,80498466,86927611.8,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2633.36,2647.55,2631.09,2632.56,552735153,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/28/18,3178.9326,3137.7477,3179.4108,3126.6179,3137.2413,41.6913,1.3289,74881955,77620553.1,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2633.36,2647.55,2631.09,2632.56,552735153,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/27/18,3137.2413,3152.7743,3162.0121,3126.289,3141.2434,-4.0021,-0.1274,55407832,61946261.1,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2633.36,2647.55,2631.09,2632.56,552735153,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/26/18,3141.2434,3148.6721,3169.4418,3131.636,3143.4752,-2.2318,-0.071,59379140,61899479.5,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2633.36,2647.55,2631.09,2632.56,552735153,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/23/18,3143.4752,3208.593,3212.1952,3139.3857,3214.4273,-70.9521,-2.2073,84638255,86864946.1,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2633.36,2647.55,2631.09,2632.56,552735153,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/22/18,3214.4273,3232.9731,3235.4524,3199.6981,3226.4918,-12.0645,-0.3739,65098291,70083372.6,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2657.74,2670.73,2649.82,2649.93,552735153,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/21/18,3226.4918,3187.1025,3230.2578,3185.2393,3218.4076,8.0842,0.2512,84119726,87813273.9,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2657.74,2670.73,2649.82,2649.93,552735153,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/20/18,3218.4076,3268.0768,3278.7845,3213.6833,3294.6031,-76.1955,-2.3127,109361154,114155066.8,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2654.6,2669.44,2631.52,2641.89,760763750,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/19/18,3294.6031,3258.7919,3294.6031,3251.0665,3257.6735,36.9296,1.1336,115956595,123188777.5,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2730.74,2733.16,2681.09,2690.73,688894394,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/16/18,3257.6735,3242.879,3282.39,3223.7215,3242.3715,15.302,0.4719,126876835,135379803.9,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2718.54,2746.75,2712.16,2736.27,838188083,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
11/15/18,3242.3715,3201.2814,3242.3836,3198.7814,3204.9427,37.4288,1.1678,98558810,100119192.3,1.6,102.54,103.3,104.2,112.4,106.7,102.5,100.7,100.9,101.2,101,99.9,15,14,-1,1795561.6,8,540128.37,2.7,70106.62,2.8,470021.74,1255433.23,340815.59,702827.46,211790.18,1.15,1.5,1.1,2.75,2.1,1.3,0.35,0.8,1.35,1.1,1.3,3.25,2.75,4.28,4.28,4.41,3.92,3.92,4.75,4.75,4.9,2693.52,2735.38,2670.75,2730.2,695330012,2723.06,52.34,122.48,252.659,3.22,2723.06,52.39,122.81,30.57,-1
