Date,GDP Growth Rate,CPI,PPI_ppiip,PPI_ppi,PPI_qm,PPI_rmi,PPI_pi,PPI_cg,PPI_food,PPI_clothing,PPI_roeu,PPI_dcg,RRR_before,RRR_now,RRR_changed,MS_m2,MS_m2_yoy,MS_m1,MS_m1_yoy,MS_m0,MS_m0_yoy,MS_cd,MS_cd_yoy,MS_qm,MS_qm_yoy,MS_ftd,MS_ftd_yoy,MS_sd,MS_sd_yoy,MS_rests,MS_rests_yoy,协定存款(定期),定期存款整存整取(一年),定期存款整存整取(三个月),定期存款整存整取(三年),定期存款整存整取(二年),定期存款整存整取(五年),定期存款整存整取(半年),定活两便(定期),活期存款(不定期),通知存款(一天),通知存款(七天),零存整取、整存零取、存本取息定期存款(一年),零存整取、整存零取、存本取息定期存款(三年),零存整取、整存零取、存本取息定期存款(五年),个人住房公积金贷款(五年以上),个人住房公积金贷款(五年以下),个人住房商业贷款(一至三年),个人住房商业贷款(一至六个月（含六个月）),个人住房商业贷款(三至五年),个人住房商业贷款(五年以上),个人住房商业贷款(六个月以内),个人住房商业贷款(六个月至一年),中长期贷款(一至三年),中长期贷款(三至五年),中长期贷款(五年以上),优惠贷款(中国进出口银行出口卖方信贷),优惠贷款(低技术含量和一般产品),优惠贷款(广深珠高速公路贷款),优惠贷款(成套和高技术含量),优惠贷款(扶贫贴息贷款),优惠贷款(民政部门福利工厂贷款),优惠贷款(民族贸易及民族用品生产贷款),优惠贷款(特区、开发区差别利率贷款（五年以上）),优惠贷款(特区、开发区差别利率贷款（五年以内）),优惠贷款(老少边穷发展经济贷款),优惠贷款(贫困县办工业贷款),优惠贷款(银行系统印制企业基建储备贷款),再贴现(再贴现率),流动资产贷款(流动资产贷款利率),特种贷款(特种贷款利率),短期贷款(六个月以内),短期贷款(六个月至一年),罚息(挤占挪用贷款),罚息(逾期贷款),贴现(贴现),SP500_Open,SP500_High,SP500_Low,SP500_Close,SP500_Volume,US_Stock_P,US_Stock_D,US_Stock_E,US_Stock_CPI,US_Stock_Fraction,US_Stock_Rate GS10,US_Stock_Price,US_Stock_Dividend,US_Stock_Earnings,US_Stock_CAPE,"Sentiment - (1 for pos, -1 for neg)"
2013-01-01,1.9,102.03,98.36,97.63,95.03,97.8,97.82,100.68,101.28,101.54,100.93,99.02,,,,992129.25,15.90,311228.55,15.30,62449.63,4.40,248778.91,--,680900.71,--,202559.15,--,419143.32,--,59198.24,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480.4,31.54,86.91,230.28,2013.04,1.91,1624.27,34.6,95.35,21.9,-1.0
2013-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.19,1462.43,1426.19,1462.42,665172160.0,,,,,,,,,,,
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1462.42,1465.47,1455.53,1459.37,561275520.0,,,,,,,,,,,
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.37,1467.94,1458.99,1466.47,489392896.0,,,,,,,,,,,
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1466.47,1466.47,1456.62,1461.89,471493952.0,,,,,,,,,,,-1.0
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.89,1461.89,1451.64,1457.15,533650944.0,,,,,,,,,,,
2013-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.15,1464.73,1457.15,1461.02,489918240.0,,,,,,,,,,,-1.0
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.02,1472.3,1461.02,1472.12,544271616.0,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1472.12,1472.75,1467.58,1472.05,470772896.0,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
